 বাংলাদেশ	ঢাকা
 ভারত	নয়াদিল্লী
 পাকিস্তান	ইসলামাবাদ
 শ্রীলংকা	কলম্বো
 নেপাল	কাঠমুন্ডু
 ভুটান	থিম্পু
 মালদ্বীপ	মালে	
 মায়ানমার	নাইপিদো	
 আফগানিস্তান	কাবুল
 ইন্দোনেশিয়া	জাকার্তা	
 মালেশিয়া	কুয়ালালামপুর	
 সিঙ্গাপুর	সিঙ্গাপুর সিটি
 থাইল্যান্ড	ব্যাংকক	
 ভিয়েতনাম	হ্যানয়
 লাওস	ভিয়েন তিয়েন
 কম্বোডিয়া	নমপেন	
 ব্রুনাই	বন্দর সেরী	
 পূর্ব তিমুর	দিলি	
 ফিলিপাইন	ম্যানিলা
 কাজাকিস্তান	আলমাআতা	
 কিরগিজিস্তান	বিশবেক	
 তাজিকিস্তান	দুশানবে	
 তুর্কমেনিস্তান	আশাখাবাদ	
 উজবেকিস্তান	তাশখন্দ	
 আজারবাইজান	বাকু	
 চীন	বেইজিং	
 জাপান	টোকিও	
 উত্তর কোরিয়া	পিয়ংইয়ং	
 দক্ষিণ কোরিয়া	সিউল
 তাইওয়ান	তাইপে	
 মঙ্গোলিয়া	উলান বাটর	
 বাহরাইন	মানামা	
 ইরান	তেহরান	
 ইরাক	বাগদাদ	
 ইসরাইল	জেরুজালেম	
 জর্ডান	আম্মান	
 কুয়েত	কুয়েত সিটি	
 লেবানন	বৈরুত	
 ওমান	মাসকট
 কাতার	দোহা	
 সৌদি আরব	রিয়াদ	
 সিরিয়া	দামেস্ক	
 ইয়েমেন	সানা	
 সংযুক্ত আরব আমিরাত	আবুধাবি
 তুরস্ক	আঙ্কারা	
 ফিলিস্তিন	রামাল্লা	
 জার্মানি	বার্লিন
 পোলান্ড	ওয়ারশ
 হাঙ্গেরী	বুদাপেস্ট
 রুমানিয়া	বুখারেস্ট
 বুলগেরিয়া	সোফিয়া
 স্লোভাকিয়া	ব্লাটিস্লাভা
 ক্রোয়েশিয়া	জাগোরেব
 স্লোভেনিয়া	লুবজানা
 চেক-প্রজাতন্ত্র	প্রাগ
 আলবেনিয়া	তিরানা
 বসনিয়া হার্জেগোভিনা	সারায়েবো
 মন্টিনিগ্রো	পোডগোরিকো
 সার্বিয়া	বেলগ্রেড
 মেসিডোনিয়া	স্কোপজে
 কসোভো	ক্রিস্টিনা
 ফ্রান্স	প্যারিস
 নরওয়ে	অসলো
 সুইডেন	স্টকহোম
 ডেনমার্ক	কোপেন হেগেন
 ইংল্যান্ড	লন্ডন
 রাশিয়া	মস্কো
 অস্ট্রিয়া	ভিয়েনা
 বেলজিয়াম	ব্রাসেলস
 এনডোরা	এনডোরা লা ভিলা
 গ্রিস	এথেন্স
 ফিনল্যান্ড	হেলসিংকি
 সাইপ্রাস	নিকোশিয়া
 আইসল্যান্ড	রিকজাভিক
 আয়ার‌ল্যান্ড	ডাবলিন
 নেদারল্যান্ড	আমস্টারডাম
 মালটা	ভালেটা
 লুক্সেমবার্গ	লুক্সেমবার্গ
 মোনাকো	মোনাকো
 পর্তুগাল	লিসবন
 সুইজারল্যান্ড	বার্ন
 ভ্যাটিকাস সিটি	ভ্যাটিকান সিটি
 ইতালি	রোম
 বেলারুশ	মিনস্ক
 ইউক্রেন	কিয়েভ
 এস্তোনিয়া	তাল্লিন
 লাটভিয়া	রিগা
 আর্মেনিয়া	ইয়েরেভান
 জর্জিয়া	তিবলিস
 লিথুনিয়া	ভিনিয়াস
 মলদোভা	চিসিনিউ
 সানমেরিনো	সানমেরিনো
 লিচেনস্টেইন	ভাদুজ
 স্পেন	মাদ্রিদ
 মিশর	কায়রো
 সুদান	খার্তুম
 লিবিয়া	ত্রিপলি
 তিউনিশিয়া	তিউনিশ
